status,arrival,req_ram,req_cpu,dur,client,vm
ok,0.06745072965739818,135.82617290810856,0.4102244384558455,0.4844193582686673,140891,0
ok,0.09321505891765824,111.52519391933478,0.1690969095186861,3.8697988743037866,596853,1
ok,0.16113248024493887,118.63886908263835,0.6274723628122649,10.523486456039027,888598,2
ok,0.1646036833409918,131.2074714612757,0.8545215258730856,4.090036569515188,841235,3
ok,0.18351279828873374,245.14758924627654,0.3866979541402511,17.251136048548513,800875,4
ok,0.230517624902355,258.3980477131076,0.5745987578125831,11.25027932986267,66172,5
ok,0.2416275665662181,242.70487298260502,0.4816053401988253,3.8089000661969914,267459,6
ok,0.3887846409287067,291.35540155032163,0.27408096813902505,8.997718597133812,123646,7
ok,0.3910918378256524,131.9958098245419,0.6921640008185763,7.786109270343921,519501,8
ok,0.4047107636944897,269.87345876336076,0.4777233258657372,1.7379682936726444,797926,9
ok,0.44713099890045827,115.3394750472946,0.6312568157554076,1.5431440536981766,471325,0
ok,0.531685242221528,208.25303971519753,0.37566663045257503,0.7933879076308519,495185,1
ok,0.6429234596884343,151.20117969108756,0.5612824759202246,2.6726551816189903,683244,2
ok,0.7911083019152749,153.5362221394726,0.47784920562219974,3.8382374428113004,398055,3
ok,0.927362443261421,254.670738447575,0.5045771949628733,4.416154411050316,827036,4
ok,1.2195119888810393,166.71107359952913,0.75001000957502,0.9037391614426121,220153,5
ok,1.5475478731829866,299.86398298562796,0.3484651717150835,6.473099099427597,98418,6
ok,1.8160729902422854,309.3626163355287,0.6347432149530081,2.145447461243475,511554,7
ok,1.8553994866565218,186.67203424405358,0.6834392041088043,16.739237735663288,29724,8
ok,1.991522397917207,129.56185630003756,0.5556257691416885,14.927846332240719,936710,9
ok,2.0662320549429896,54.92611496360465,0.8094897153452462,1.352663045303994,876363,0
ok,2.3583526246644735,76.26207452841216,0.7090401254297163,3.743913678946549,408744,1
ok,2.629733757007337,257.4071860649363,0.4498590180907221,4.882328811719516,453789,2
ok,2.6317272238392024,216.17912443573312,0.5909904483064972,29.61501325891657,636944,3
ok,2.6553714052320774,168.05854624643268,0.5362134833239562,7.04194433691727,799308,4
ok,2.8306114765726,216.87216251259954,0.5843558309300975,0.6634927660701883,804423,5
ok,2.8331215268711873,246.5540147020352,0.41795849646364425,3.8699542416165262,2208,6
ok,2.933721340081006,250.0649176728014,0.17772723744233093,17.46586411221862,729633,7
ok,3.036636928187216,254.78691923336703,0.3809079339831216,2.4539765830666975,467022,8
ok,3.285604095460433,229.2670674474417,0.8215014088910046,0.7335476529032954,279267,9
ok,3.293327575860797,180.9458105668087,0.4318343433595803,6.241173340402217,756589,0
ok,3.395869767891372,205.51758439433803,0.5946482782041911,1.136342954649191,840775,1
ok,3.4322182532980365,137.78698329328674,0.6245125594259093,4.3537067725642675,239874,2
ok,3.87062130609081,163.7465117381513,0.6208307282160144,3.4038180154251547,619869,3
ok,3.9915547439002537,174.06450613935027,0.5621508462160806,0.1,991188,4
ok,4.000629056846389,396.93026491214073,0.4367752625024225,4.206512773683559,107192,5
ok,4.04835295361869,202.56260225387277,0.5392540415092651,2.391317623249975,945215,6
ok,4.148430087741794,265.3477740999316,0.7368342619847773,1.538876702006423,332849,7
ok,4.157009762758472,313.1586181212053,0.21667099966499143,1.1797131174905604,32075,8
ok,4.3316819841046295,192.4898371786135,0.46604519534964917,8.167489321905366,23406,9
